label,type,original,converted
108,REMOVED,，,
108,REMOVED,，,
108,REMOVED,，,
108,REMOVED,？,
104,NUMBER,2017,二千零一十七
106,REMOVED,，,
106,REMOVED,，,
106,REMOVED,。,
106,REMOVED,？,
112,NUMBER,2018,二千零一十八
112,REMOVED,？,
109,REMOVED,，,
103,REMOVED,“,
103,REMOVED,”,
103,REMOVED,—,
103,REMOVED,—,
103,REMOVED,！,
109,REMOVED,-,
109,REMOVED,：,
109,REMOVED,+,
109,REMOVED,+,
116,REMOVED,？,
103,REMOVED,？,
101,NUMBER,87,八十七
101,REMOVED,，,
109,REMOVED,，,
109,REMOVED,？,
106,REMOVED,？,
107,REMOVED,，,
107,REMOVED,，,
107,REMOVED,，,
107,REMOVED,？,
104,REMOVED,“,
104,REMOVED,”,
104,REMOVED,“,
104,REMOVED,”,
100,REMOVED,：,
102,REMOVED,，,
102,REMOVED,？,
104,REMOVED,「,
104,REMOVED,」,
104,REMOVED,“,
104,REMOVED,”,
104,REMOVED,，,
104,REMOVED,、,
110,NUMBER,10,十
110,REMOVED,！,
103,REMOVED,，,
102,REMOVED,？,
112,REMOVED,、,
112,REMOVED,！,
101,REMOVED,：,
101,REMOVED,，,
101,REMOVED,？,
101,REMOVED,？,
104,NUMBER,1.2,一点二
104,REMOVED,，,
104,REMOVED,？,
100,REMOVED,，,
100,REMOVED,，,
101,REMOVED,：,
101,REMOVED,，,
101,REMOVED,？,
108,REMOVED,：,
101,REMOVED,？,
101,REMOVED,？,
113,REMOVED,？,
109,REMOVED,？,
107,NUMBER,2018,二千零一十八
107,NUMBER,35,三十五
107,NUMBER,6,六
107,NUMBER,510,五百一十
107,REMOVED,，,
107,REMOVED,！,
107,REMOVED,，,
107,REMOVED,？,
108,REMOVED,？,
102,REMOVED,，,
116,NUMBER,11,十一
116,REMOVED,：,
116,REMOVED,：,
116,REMOVED,，,
113,REMOVED,？,
104,NUMBER,2018,二千零一十八
104,NUMBER,0509,五百零九
102,REMOVED,，,
102,REMOVED,“,
102,REMOVED,”,
113,REMOVED,！,
113,REMOVED,：,
107,REMOVED,，,
107,REMOVED,？,
109,REMOVED,，,
109,REMOVED,？,
109,REMOVED,，,
109,REMOVED,，,
109,REMOVED,？,
108,REMOVED,“,
108,REMOVED,:,
108,REMOVED,，,
108,REMOVED,！,
108,REMOVED,”,
108,REMOVED,？,
108,NUMBER,2019,二千零一十九
102,REMOVED,：,
102,REMOVED,“,
102,REMOVED,”,
109,REMOVED,？,
116,NUMBER,3,三
116,REMOVED,《,
116,REMOVED,》,
116,REMOVED,？,
116,NUMBER,5,五
116,REMOVED,：,
116,REMOVED,，,
108,REMOVED,？,
109,NUMBER,2018,二千零一十八
109,REMOVED,（,
109,REMOVED,）,
104,REMOVED,，,
104,REMOVED,，,
104,REMOVED,？,
109,REMOVED,，,
109,REMOVED,？,
106,NUMBER,30,三十
113,NUMBER,5,五
113,NUMBER,9,九
108,REMOVED,“,
108,REMOVED,”,
110,REMOVED,？,
104,NUMBER,3.0,三点零
104,REMOVED,！,
104,REMOVED,？,
104,REMOVED,“,
104,REMOVED,”,
104,REMOVED,：,
104,REMOVED,，,
109,NUMBER,2018,二千零一十八
109,REMOVED,—,
109,REMOVED,—,
109,REMOVED,+,
110,REMOVED,？,
102,NUMBER,500,五百
102,REMOVED,，,
102,REMOVED,，,
110,REMOVED,，,
109,NUMBER,4,四
109,REMOVED,，,
109,REMOVED,，,
109,REMOVED,？,
116,REMOVED,《,
116,REMOVED,》,
116,REMOVED,：,
116,REMOVED,？,
101,REMOVED,，,
101,REMOVED,？,
113,REMOVED,，,
113,REMOVED,，,
113,REMOVED,！,
112,NUMBER,6.9,六点九
112,REMOVED,？,
112,REMOVED,，,
112,REMOVED,！,
110,REMOVED,？,
116,REMOVED,：,
116,REMOVED,，,
116,REMOVED,！,
113,REMOVED,“,
113,REMOVED,”,
113,REMOVED,，,
113,REMOVED,（,
113,REMOVED,）,
113,REMOVED,？,
107,REMOVED,？,
108,REMOVED,？,
106,NUMBER,2018,二千零一十八
102,NUMBER,22,二十二
102,REMOVED,《,
102,REMOVED,》,
102,REMOVED,！,
102,REMOVED,：,
102,REMOVED,！,
102,REMOVED,，,
102,REMOVED,，,
112,NUMBER,161,一百六十一
106,REMOVED,，,
106,REMOVED,？,
103,REMOVED,？,
115,NUMBER,9,九
115,NUMBER,10,十
115,REMOVED,，,
115,REMOVED,，,
115,REMOVED,！,
102,REMOVED,？,
102,REMOVED,？,
102,REMOVED,！,
112,REMOVED,，,
112,REMOVED,？,
108,REMOVED,：,
108,REMOVED,“,
108,REMOVED,”,
101,REMOVED,？,
108,REMOVED,？,
102,REMOVED,，,
102,REMOVED,、,
102,REMOVED,、,
102,REMOVED,、,
102,REMOVED,？,
110,NUMBER,02357,二千三百五十七
110,REMOVED,，,
110,REMOVED,（,
110,REMOVED,）,
106,REMOVED,，,
106,REMOVED,？,
110,REMOVED,？,
104,NUMBER,2018,二千零一十八
104,REMOVED,“,
104,REMOVED,+,
104,REMOVED,”,
102,NUMBER,1,一
102,NUMBER,1,一
102,REMOVED,，,
102,REMOVED,？,
100,REMOVED,，,
100,REMOVED,？,
113,NUMBER,20500,二万零五百
113,REMOVED,？,
110,REMOVED,：,
110,REMOVED,？,
102,REMOVED,，,
102,REMOVED,，,
102,NUMBER,5,五
102,REMOVED,？,
102,REMOVED,，,
102,REMOVED,！,
104,NUMBER,3100,三千一百
102,REMOVED,",",
102,REMOVED,!,
113,NUMBER,82,八十二
113,NUMBER,1,一
113,REMOVED,？,
102,NUMBER,3,三
102,NUMBER,4,四
101,REMOVED,？,
107,REMOVED,？,
109,REMOVED,？,
103,REMOVED,！,
103,REMOVED,，,
109,NUMBER,16,十六
109,REMOVED,？,
113,NUMBER,20,二十
113,REMOVED,，,
113,REMOVED,？,
115,NUMBER,15000,一万五千
115,REMOVED,！,
115,REMOVED,、,
115,REMOVED,？,
109,REMOVED,，,
109,REMOVED,？,
109,REMOVED,，,
109,REMOVED,，,
113,REMOVED,“,
113,REMOVED,”,
113,REMOVED,？,
107,NUMBER,5,五
107,REMOVED,：,
107,REMOVED,，,
107,REMOVED,！,
103,REMOVED,，,
103,REMOVED,，,
103,REMOVED,！,
109,NUMBER,5,五
109,NUMBER,12,十二
109,REMOVED,｜,
108,REMOVED,.,
102,NUMBER,3,三
102,REMOVED,，,
108,REMOVED,、,
108,REMOVED,？,
113,REMOVED,，,
113,REMOVED,？,
103,NUMBER,1,一
103,REMOVED,，,
103,REMOVED,，,
112,REMOVED,，,
106,REMOVED,，,
106,REMOVED,！,
113,REMOVED,：,
113,REMOVED,！,
113,REMOVED,“,
113,REMOVED,”,
113,REMOVED,！,
102,NUMBER,66,六十六
102,REMOVED,！,
102,REMOVED,！,
102,REMOVED,：,
102,REMOVED,，,
115,REMOVED,“,
115,REMOVED,”,
100,REMOVED,，,
100,REMOVED,，,
109,REMOVED,「,
109,REMOVED,」,
109,REMOVED,，,
112,NUMBER,40,四十
112,REMOVED,，,
107,NUMBER,4,四
107,NUMBER,4134,四千一百三十四
116,NUMBER,2,二
116,REMOVED,？,
103,REMOVED,？,
110,NUMBER,2,二
110,REMOVED,-,
110,REMOVED,（,
110,REMOVED,）,
116,REMOVED,？,
116,REMOVED,？,
107,REMOVED,｜,
104,REMOVED,，,
104,REMOVED,，,
113,REMOVED,、,
113,REMOVED,，,
113,REMOVED,？,
104,NUMBER,2000,二千
104,REMOVED,：,
115,REMOVED,？,
104,REMOVED,：,
104,REMOVED,，,
104,REMOVED,？,
102,REMOVED,，,
102,REMOVED,，,
102,REMOVED,！,
109,REMOVED,，,
109,REMOVED,？,
108,NUMBER,3,三
108,NUMBER,2,二
108,REMOVED,？,
108,REMOVED,，,
107,REMOVED,，,
107,REMOVED,？,
100,REMOVED,，,
100,REMOVED,，,
107,REMOVED,？,
107,REMOVED,！,
103,NUMBER,5,五
103,NUMBER,13,十三
103,NUMBER,5,五
103,REMOVED,，,
103,REMOVED,，,
103,REMOVED,？,
113,NUMBER,3,三
113,NUMBER,7,七
113,NUMBER,20,二十
113,REMOVED,：,
113,REMOVED,，,
108,REMOVED,：,
108,REMOVED,「,
108,REMOVED,」,
108,REMOVED,“,
108,REMOVED,”,
108,REMOVED,（,
108,REMOVED,）,
104,REMOVED,？,
109,NUMBER,6,六
109,REMOVED,？,
108,REMOVED,？,
108,REMOVED,！,
104,REMOVED,，,
104,REMOVED,，,
104,REMOVED,？,
103,REMOVED,？,
113,REMOVED,，,
113,REMOVED,！,
113,REMOVED,，,
113,REMOVED,，,
113,REMOVED,？,
108,REMOVED,：,
108,REMOVED,，,
108,REMOVED,，,
108,REMOVED,，,
108,REMOVED,。,
108,REMOVED,？,
109,REMOVED,，,
109,REMOVED,，,
109,REMOVED,！,
116,NUMBER,5,五
116,NUMBER,17,十七
116,REMOVED,，,
116,REMOVED,！,
112,NUMBER,2018,二千零一十八
112,REMOVED,·,
109,REMOVED,：,
109,REMOVED,，,
109,REMOVED,？,
100,REMOVED,，,
100,REMOVED,，,
116,NUMBER,19,十九
116,REMOVED,：,
116,REMOVED,！,
116,REMOVED,！,
102,REMOVED,，,
102,REMOVED,！,
102,REMOVED,？,
113,NUMBER,200,二百
113,REMOVED,，,
113,REMOVED,？,
102,NUMBER,9,九
102,NUMBER,9.0,九点零
102,REMOVED,：,
102,REMOVED,！,
112,NUMBER,2,二
112,REMOVED,：,
112,REMOVED,，,
112,REMOVED,，,
112,REMOVED,！,
104,NUMBER,3,三
104,NUMBER,2.37,二点三七
104,NUMBER,4.7,四点七
104,REMOVED,，,
104,REMOVED,，,
104,REMOVED,，,
100,REMOVED,“,
100,REMOVED,”,
100,REMOVED,？,
104,REMOVED,！,
113,REMOVED,？,
113,REMOVED,，,
113,REMOVED,：,
112,REMOVED,—,
112,REMOVED,—,
104,REMOVED,：,
109,NUMBER,5,五
109,NUMBER,117,一百一十七
109,NUMBER,1,一
109,REMOVED,-,
109,REMOVED,？,
113,REMOVED,？,
106,REMOVED,？,
101,REMOVED,，,
101,REMOVED,？,
108,NUMBER,2018,二千零一十八
102,NUMBER,20,二十
102,NUMBER,72,七十二
102,REMOVED,，,
102,REMOVED,，,
116,REMOVED,，,
116,REMOVED,：,
116,REMOVED,！,
109,NUMBER,5000,五千
109,REMOVED,，,
109,REMOVED,？,
101,REMOVED,：,
101,REMOVED,，,
101,REMOVED,？,
104,NUMBER,45,四十五
110,REMOVED,？,
110,REMOVED,：,
109,REMOVED,，,
104,NUMBER,90,九十
104,REMOVED,：,
104,REMOVED,，,
107,NUMBER,25,二十五
107,REMOVED,，,
107,REMOVED,，,
107,REMOVED,，,
107,REMOVED,，,
107,REMOVED,？,
109,REMOVED,，,
109,REMOVED,，,
109,REMOVED,「,
