label,type,original,converted
108,REMOVED,，,
108,REMOVED,，,
108,REMOVED,，,
108,REMOVED,？,
104,NUMBER,2017,二千零一十七
106,REMOVED,，,
106,REMOVED,，,
106,REMOVED,。,
106,REMOVED,？,
112,NUMBER,2018,二千零一十八
112,REMOVED,？,
109,REMOVED,，,
103,REMOVED,“,
103,REMOVED,”,
103,REMOVED,—,
103,REMOVED,—,
103,REMOVED,！,
109,LATIN,SACC,萨克
109,SYMBOL_MAPPED,-,减
109,REMOVED,：,
109,SYMBOL_MAPPED,+,加
109,SYMBOL_MAPPED,+,加
116,LATIN,or,或者
116,REMOVED,？,
103,REMOVED,？,
101,NUMBER,87,八十七
101,REMOVED,，,
109,REMOVED,，,
109,REMOVED,？,
